account_username,min,max,diff
kaykai_ntch,2254350,3673612,1419262
pantipa.a,512670,1774201,1261531
pimlar_daiiyy,444305,1343150,898845
kyutaeoppa,287607,1162712,875105
meijimill,741456,1514792,773336
pimtha,3690062,4449511,759449
bietheska,680590,1419824,739234
zommarie,403171,1108688,705517
namnung.p,230652,863223,632571
kayavine,286239,887643,601404
alrisaa,980001,1557120,577119
punpromotion,708438,1178459,470021
bifern,471429,824327,352898
vanda29,3213200,3558798,345598
iiitoei,1204800,1517237,312437
kantichachumma,1082877,1391855,308978
djpetjah,1616108,1901971,285863
atlovehoroscope,681163,943471,262308
mayyr_,1148827,1366535,217708
skykikijung,1275000,1490507,215507
sunbeary,1166122,1301236,135114
sale_here,746229,880543,134314
architasiri,1167157,1280968,113811
emmeemm,1324591,1432034,107443
thisisbebe,2481094,2561432,80338
yae_uunws,1352433,1430060,77627
ple_nakorn,1167752,1241745,73993
